number,date_time,new_cases,new_deaths,recovered,active,deaths,suspicious,accumulated,discarted,beni,chuquisaca,cochabamba,la_paz,pando,santa_cruz,tarija
N° 298,Jueves 07 de enero de 2021 (20:30),1.910,HOY +17,136.266,23.321,9.304,3.206,168.891,266.961,81,102,206,630,57,638,109
N° 275,Martes 15 de diciembre de 2020 (21:30),371,HOY +2,126.720,11.970,9.026,888,147.716,231.874,,10,,,,250,18
N° 274,Lunes 14 de diciembre de 2020 (21:30),195,HOY +6,126.439,11.882,9.024,901,147.345,230.524,,,,,,156,
N° 280,Domingo 20 de diciembre de 2020 (21:30),253,HOY +4,127.969,13.018,9.036,730,150.023,238.371,,56,,123,ll,33,
N° 287,Domingo 27 de diciembre de 2020 (21:30),494,HOY +5,130.222,15.523,9.098,838,154.843,247.008,,,,213,,206,
N° 321,Sdbado 30 de enero de 20217 (20:45),2.005,HOY +51,158.499,46.568,10.330,2.507,215.397,341.230,52,124,144,6il,,730,54
N° 29¢,Viernes 08 de enero de 2021 (20:45),2.263,HOY +24,136.882,24.944,9.328,3.526,171.154,269.925,134,164,,66s,,783,
N° 288,Lunes 28 de diciernbre de 2020 (20:30),751,HOY +8,130.620,15.868,9.106,901,— 155.594 —,247.899,45,34,,,,,
N° 320,Viernes 29 de enero de 202] (21:00),2.666,HOY +53,157.263,45.850,10.279,3.038,213.392,336.895,WW,,249,,17,978,ms
N° 307,Sdbado 16 de enero de 2021 (21:00),2.091,HOY +25,142.948,33.136,9.596,3.391,_ 185.680,290.195,,143,150,542,39,889,
N° 313,Viernes 22 de enero de 2021 (20:45},1.864,HOY +53,148.750,39.636,9.871,3.437,198.257,307.412,25,164,,,il,696,
N° 295,Lunes 04 de enero de 2021 (20:45),1.010,HOY +18,133.671,20.781,9.219,1.504,163.671,259.656,49,98,168,lio,10,495,
N° 326,"Jueves, 04 de febrero de 2021 (20:30)",1.787,HOY +62,164.900,48.701,10.633,2.557,"224,234 —",362.622,77,146,220,330,37,,52
N° 327,Viernes 05 de febrero de 2021 (20:45),1.676,HOY +54,166.446,48.777,10.687,2.525,225.910,367.389,60,M3,140,365,35,616,73
N° 311,Miércoles 20 de enero de 202] (20:30),2.655,HOY +42,146.578,37.403,9.764,4.081,193.745,300.078,159,7,,S513,37,1158,
N° 312,Jueves 21 de enero de 2021 (20:45),2.648,HOY +54,147.744,38.831,9.818,3.961,196.393,304.145,158,157,,,30,1.197,
N° 314,Sdbado 23 de enero de 2021 (20:45),1.732,HOY +56,149.895,40.167,9.927,3.587,199.989,310.254,,150,165,,2,544,
N° 292,Viernes OI de enero de 2021 (20:30),861,HOY +10,132.510,19.300,9.175,672,— 160.985,255.658,16,7S,48,,34,183,
N° 297,Miércoles 06 de enero de 2021 (20:45),1.713,HOY +46,135.186,22.508,9.287,2.428,166.981,264.418,2,139,,,49,689,
N° 305,Jueves 14 de enero de 2021 (20:45),2.198,HOY +37,141.736,29.750,9.530,4.592,181.016,283.653,164,165,187,,24,816,
N° 300,Sdbado 09 de enero de 2021 (20:45),1.644,HOY +23,137.704,25.743,9.351,2.382,172.798,272.144,69,143,152,,17,609,100
N° 310,Martes 19 de enero de 2021 (21:00),2.357,HOY +42,145.537,35.831,9.722,3.986,191.090,297.563,182,134,327,322,56,Wm,105
N° 323,Lunes O01 de febrero de 2021 (20:45),1.464,HOY +60,160.326,47.534,10.439,2.257,218.299,347.496,28,,153,,18,617,60
N° 319,Jueves 28 de enero de 2021 (20:30),2.652,HOY +59,155.722,44.778,10.226,2.877,210.726,331.365,nz,157,268,599,21,1139,935
N° 271,Viernes 11 de diciembre de 2020 (21:30),312,HOY +5,125.886,11.798,9.013,1.091,146.697 —,228.133,,16,17,,,186,2
N° 281,Lunes 21 de diciembre de 2020 (21:30),362,HOY +7,128.308,13.034,9.043,1.464,— 150.385,239.295,,,,,,,
N° 332,"Miércoles, 10 de febrero de 2021 (21:00)",1.771,HOY +67,172.710,48.796,10.996,2.547,232.502,389.153,43,94,197,410,25,665,100
N° 269,Miércoles 09 de diciembre de 2020 (21:30),214,HOY +2,125.490,11.566,9.004,793,146.060 —,225.219,,,15,,,141,
